Round,Calendar_Week_Num,Day_ID,Date,Date_time,Home_Team_ID,Away_Team_ID,Venue_Stadium_ID,Travel_km,Slot_tier,Home_Tier,Away_Tier,Match_Tier,Is_FIFA,Is_CAF,Is_SuperCup,Postponed
30,26,D_20270127,2027-01-27,2027-01-27 21:00:00,AHL,ENP,CAIRO_INTL,15.0,3,1,3,1,0,0,0,False
30,26,D_20270127,2027-01-27,2027-01-27 21:00:00,MAS,ZAM,BORG_ARAB,460.0,3,2,1,1,0,0,0,False
30,27,D_20270202,2027-02-02,2027-02-02 17:00:00,PHA,ZED,BORG_ARAB,170.0,3,3,2,2,0,0,0,False
30,27,D_20270205,2027-02-05,2027-02-05 14:30:00,HAR,GOU,HARAS,660.0,2,3,3,3,0,0,0,False
30,30,D_20270223,2027-02-23,2027-02-23 14:30:00,MOD,MAH,AL_SALAM,130.0,3,2,3,2,0,0,0,False
30,31,D_20270301,2027-03-01,2027-03-01 14:30:00,SMO,ITH,BORG_ARAB,55.0,3,2,2,2,0,0,0,False
30,41,D_20270513,2027-05-13,2027-05-13 22:00:00,ISM,PET,ISMAILIA_ST,135.0,3,2,3,2,0,0,0,False
31,26,D_20270124,2027-01-24,2027-01-24 17:00:00,ZAM,PYR,CAIRO_INTL,15.0,2,1,1,1,0,0,0,False
31,26,D_20270124,2027-01-24,2027-01-24 19:00:00,PET,BNK,PETRO_SPORT,15.0,2,3,2,2,0,0,0,False
31,26,D_20270124,2027-01-24,2027-01-24 19:00:00,TLG,MOD,GEHAZ_REYADA,15.0,2,3,2,2,0,0,0,False
31,26,D_20270124,2027-01-24,2027-01-24 21:00:00,CER,MAS,SUEZ_CANAL,0.0,1,2,2,2,0,0,0,False
31,26,D_20270124,2027-01-24,2027-01-24 21:00:00,HAR,AHL,HARAS,210.0,1,3,1,1,0,0,0,False
31,26,D_20270127,2027-01-27,2027-01-27 17:00:00,ITH,ISM,ALEX_STADIUM,330.0,3,2,2,2,0,0,0,False
31,26,D_20270130,2027-01-30,2027-01-30 17:00:00,ZED,SMO,CAIRO_INTL,170.0,2,2,2,2,0,0,0,False
31,27,D_20270202,2027-02-02,2027-02-02 14:30:00,MAH,ENP,MAHALLA,130.0,3,3,3,3,0,0,0,False
31,28,D_20270208,2027-02-08,2027-02-08 14:30:00,GOU,PHA,EL_GOUNA,620.0,3,3,3,3,0,0,0,False
32,25,D_20270121,2027-01-21,2027-01-21 17:00:00,TLG,HAR,GEHAZ_REYADA,235.0,3,3,3,3,0,0,0,False
32,25,D_20270121,2027-01-21,2027-01-21 19:00:00,BNK,MAS,CAIRO_INTL,110.0,3,2,2,2,0,0,0,False
32,25,D_20270121,2027-01-21,2027-01-21 19:00:00,PYR,SMO,30_JUNE,195.0,3,1,2,1,0,0,0,False
32,25,D_20270121,2027-01-21,2027-01-21 21:00:00,AHL,ZED,CAIRO_INTL,0.0,3,1,2,1,0,0,0,False
32,25,D_20270121,2027-01-21,2027-01-21 21:00:00,MOD,ZAM,AL_SALAM,15.0,3,2,1,1,0,0,0,False
32,26,D_20270124,2027-01-24,2027-01-24 17:00:00,PHA,ISM,BORG_ARAB,290.0,2,3,2,2,0,0,0,False
32,26,D_20270127,2027-01-27,2027-01-27 17:00:00,MAH,PET,MAHALLA,130.0,3,3,3,3,0,0,0,False
32,28,D_20270211,2027-02-11,2027-02-11 14:30:00,ENP,ITH,PETRO_SPORT,235.0,3,3,2,2,0,0,0,False
32,29,D_20270214,2027-02-14,2027-02-14 14:30:00,GOU,CER,EL_GOUNA,560.0,2,3,2,2,0,0,0,False
33,24,D_20270115,2027-01-15,2027-01-15 21:00:00,ISM,AHL,ISMAILIA_ST,110.0,1,2,1,1,0,0,0,False
33,24,D_20270115,2027-01-15,2027-01-15 21:00:00,PYR,TLG,30_JUNE,15.0,1,1,3,1,0,0,0,False
33,24,D_20270116,2027-01-16,2027-01-16 21:00:00,MAS,MAH,SUEZ_CANAL,225.0,1,2,3,2,0,0,0,False
33,24,D_20270116,2027-01-16,2027-01-16 21:00:00,ZAM,GOU,CAIRO_INTL,440.0,1,1,3,1,0,0,0,False
33,26,D_20270124,2027-01-24,2027-01-24 14:30:00,SMO,ENP,BORG_ARAB,195.0,2,2,3,2,0,0,0,False
33,26,D_20270127,2027-01-27,2027-01-27 14:30:00,HAR,MOD,HARAS,235.0,3,3,2,2,0,0,0,False
33,26,D_20270127,2027-01-27,2027-01-27 14:30:00,ZED,PHA,CAIRO_INTL,170.0,3,2,3,2,0,0,0,False
33,27,D_20270202,2027-02-02,2027-02-02 14:30:00,CER,BNK,SUEZ_CANAL,110.0,3,2,2,2,0,0,0,False
33,41,D_20270510,2027-05-10,2027-05-10 22:00:00,PET,ITH,PETRO_SPORT,235.0,3,3,2,2,0,0,0,False
34,23,D_20270108,2027-01-08,2027-01-08 19:00:00,ZED,PYR,CAIRO_INTL,15.0,2,2,1,1,0,0,0,False
34,23,D_20270108,2027-01-08,2027-01-08 21:00:00,AHL,MOD,CAIRO_INTL,15.0,1,1,2,1,0,0,0,False
34,23,D_20270109,2027-01-09,2027-01-09 21:00:00,MAS,HAR,SUEZ_CANAL,330.0,1,2,3,2,0,0,0,False
34,23,D_20270109,2027-01-09,2027-01-09 21:00:00,ZAM,TLG,CAIRO_INTL,15.0,1,1,3,1,0,0,0,False
34,24,D_20270113,2027-01-13,2027-01-13 21:00:00,GOU,SMO,EL_GOUNA,620.0,3,3,2,2,0,0,0,False
34,25,D_20270121,2027-01-21,2027-01-21 14:30:00,PHA,PET,BORG_ARAB,195.0,3,3,3,3,0,0,0,False
34,25,D_20270121,2027-01-21,2027-01-21 17:00:00,ITH,CER,ALEX_STADIUM,330.0,3,2,2,2,0,0,0,False
34,26,D_20270130,2027-01-30,2027-01-30 14:30:00,ISM,ENP,ISMAILIA_ST,135.0,2,2,3,2,0,0,0,False
34,26,D_20270130,2027-01-30,2027-01-30 14:30:00,MAH,BNK,MAHALLA,105.0,2,3,2,2,0,0,0,False
