match_idx,round,home_team,away_team,venue,match_tier
220,25,MOD,ZAM,AL_SALAM,1
221,25,TLG,ENP,GEHAZ_REYADA,3
222,25,CER,ZED,SUEZ_CANAL,2
223,25,MAH,ISM,MAHALLA,3
224,25,PHA,AHL,BORG_ARAB,2
225,26,BNK,HAR,CAIRO_INTL,3
226,26,ITH,SMO,ALEX_STADIUM,2
227,26,GOU,PET,EL_GOUNA,3
228,26,ZAM,PYR,CAIRO_INTL,1
229,26,ENP,MAS,PETRO_SPORT,3
230,26,ZED,MOD,CAIRO_INTL,2
231,26,TLG,MAH,GEHAZ_REYADA,3
232,26,CER,AHL,SUEZ_CANAL,1
233,26,ISM,PHA,ISMAILIA_ST,3
234,27,ITH,BNK,ALEX_STADIUM,2
235,27,PET,HAR,PETRO_SPORT,3
236,27,SMO,ZAM,BORG_ARAB,1
237,27,ENP,GOU,PETRO_SPORT,3
238,27,ZED,PYR,CAIRO_INTL,1
239,27,MAH,MAS,MAHALLA,3
240,27,AHL,MOD,CAIRO_INTL,1
241,27,PHA,TLG,BORG_ARAB,3
242,27,ISM,CER,ISMAILIA_ST,2
243,28,BNK,PET,CAIRO_INTL,3
244,28,ZAM,ITH,CAIRO_INTL,1
245,28,HAR,ENP,HARAS,3
246,28,SMO,ZED,BORG_ARAB,2
247,28,GOU,MAH,EL_GOUNA,3
248,28,PYR,AHL,30_JUNE,1
249,28,MAS,PHA,SUEZ_ST,3
250,28,MOD,ISM,AL_SALAM,2
251,28,CER,TLG,SUEZ_CANAL,3
252,29,ZAM,BNK,CAIRO_INTL,1
253,29,PET,ENP,PETRO_SPORT,3
254,29,ITH,ZED,ALEX_STADIUM,2
255,29,HAR,MAH,HARAS,3
256,29,AHL,SMO,CAIRO_INTL,1
257,29,GOU,PHA,EL_GOUNA,3
258,29,ISM,PYR,ISMAILIA_ST,1
259,29,MAS,CER,SUEZ_ST,2
260,29,TLG,MOD,GEHAZ_REYADA,3
261,30,ENP,BNK,PETRO_SPORT,3
262,30,ZED,ZAM,CAIRO_INTL,1
263,30,MAH,PET,MAHALLA,3
264,30,AHL,ITH,CAIRO_INTL,1
265,30,PHA,HAR,BORG_ARAB,3
266,30,SMO,ISM,BORG_ARAB,2
267,30,CER,GOU,SUEZ_CANAL,3
268,30,PYR,TLG,30_JUNE,2
269,30,MOD,MAS,AL_SALAM,2
270,31,BNK,ZED,CAIRO_INTL,2
271,31,MAH,ENP,MAHALLA,3
272,31,ZAM,AHL,CAIRO_INTL,1
273,31,PHA,PET,BORG_ARAB,3
274,31,ITH,ISM,ALEX_STADIUM,2
275,31,CER,HAR,SUEZ_CANAL,3
276,31,TLG,SMO,GEHAZ_REYADA,3
277,31,MOD,GOU,AL_SALAM,3
278,31,PYR,MAS,30_JUNE,1
279,32,BNK,MAH,CAIRO_INTL,3
280,32,ZED,AHL,CAIRO_INTL,1
281,32,ENP,PHA,PETRO_SPORT,3
282,32,ISM,ZAM,ISMAILIA_ST,1
283,32,PET,CER,PETRO_SPORT,3
284,32,TLG,ITH,GEHAZ_REYADA,3
285,32,HAR,MOD,HARAS,3
286,32,MAS,SMO,SUEZ_ST,2
287,32,GOU,PYR,EL_GOUNA,2
288,33,AHL,BNK,CAIRO_INTL,1
289,33,PHA,MAH,BORG_ARAB,3
290,33,ZED,ISM,CAIRO_INTL,2
291,33,CER,ENP,SUEZ_CANAL,3
292,33,ZAM,TLG,CAIRO_INTL,2
293,33,MOD,PET,AL_SALAM,3
294,33,ITH,MAS,ALEX_STADIUM,2
295,33,PYR,HAR,30_JUNE,2
296,33,SMO,GOU,BORG_ARAB,3
297,34,BNK,PHA,CAIRO_INTL,3
298,34,ISM,AHL,BORG_ARAB,1
299,34,MAH,CER,MAHALLA,3
300,34,TLG,ZED,GEHAZ_REYADA,3
301,34,ENP,MOD,PETRO_SPORT,3
302,34,MAS,ZAM,BORG_ARAB,1
303,34,PET,PYR,PETRO_SPORT,2
304,34,GOU,ITH,EL_GOUNA,3
305,34,HAR,SMO,HARAS,3
