match_idx,round,home,away,round_window_start,round_window_end,round_window_slot_count,feasible_slot_count,caf_filter_relaxed_for_repair
203,23,ISM,PET,2027-01-24,2027-01-28,20,837,False
204,23,ZAM,PHA,2027-01-24,2027-01-28,20,525,False
205,23,AHL,ENP,2027-01-24,2027-01-28,20,534,False
206,23,MAH,ZED,2027-01-24,2027-01-28,20,837,False
207,24,GOU,BNK,2027-01-29,2027-02-02,20,837,False
208,24,PYR,SMO,2027-01-29,2027-02-02,20,530,False
209,24,MAS,HAR,2027-01-29,2027-02-02,20,522,False
210,24,MOD,ITH,2027-01-29,2027-02-02,20,837,False
211,24,PET,TLG,2027-01-29,2027-02-02,20,837,False
212,24,ZAM,CER,2027-01-29,2027-02-02,20,525,False
213,24,ENP,ISM,2027-01-29,2027-02-02,20,837,False
214,24,ZED,PHA,2027-01-29,2027-02-02,20,837,False
215,24,AHL,MAH,2027-01-29,2027-02-02,20,534,False
216,25,SMO,BNK,2027-02-03,2027-02-07,18,837,False
217,25,HAR,GOU,2027-02-03,2027-02-07,18,837,False
218,25,PYR,ITH,2027-02-03,2027-02-07,18,530,False
219,25,MAS,PET,2027-02-03,2027-02-07,18,522,False
220,25,MOD,ZAM,2027-02-03,2027-02-07,18,525,False
221,25,TLG,ENP,2027-02-03,2027-02-07,18,837,False
222,25,CER,ZED,2027-02-03,2027-02-07,18,837,False
223,25,MAH,ISM,2027-02-03,2027-02-07,18,837,False
224,25,PHA,AHL,2027-02-03,2027-02-07,18,534,False
225,26,BNK,HAR,2027-02-08,2027-02-12,10,837,False
226,26,ITH,SMO,2027-02-08,2027-02-12,10,837,False
227,26,GOU,PET,2027-02-08,2027-02-12,10,837,False
228,26,ZAM,PYR,2027-02-08,2027-02-12,10,505,False
229,26,ENP,MAS,2027-02-08,2027-02-12,10,522,False
230,26,ZED,MOD,2027-02-08,2027-02-12,10,837,False
231,26,TLG,MAH,2027-02-08,2027-02-12,10,837,False
232,26,CER,AHL,2027-02-08,2027-02-12,10,534,False
233,26,ISM,PHA,2027-02-08,2027-02-12,10,837,False
234,27,ITH,BNK,2027-02-13,2027-02-17,10,837,False
235,27,PET,HAR,2027-02-13,2027-02-17,10,837,False
236,27,SMO,ZAM,2027-02-13,2027-02-17,10,525,False
237,27,ENP,GOU,2027-02-13,2027-02-17,10,837,False
238,27,ZED,PYR,2027-02-13,2027-02-17,10,530,False
239,27,MAH,MAS,2027-02-13,2027-02-17,10,522,False
240,27,AHL,MOD,2027-02-13,2027-02-17,10,534,False
241,27,PHA,TLG,2027-02-13,2027-02-17,10,837,False
242,27,ISM,CER,2027-02-13,2027-02-17,10,837,False
243,28,BNK,PET,2027-02-18,2027-02-22,10,837,False
244,28,ZAM,ITH,2027-02-18,2027-02-22,10,525,False
